356060330,颜色分类:010 Black黑白提花;尺码:175/92A/XL,p***2,292645195968,大小合适也很柔软 就是显胖 瘦子适合的衣服啊,2016-11-21 15:28:09,4,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:165/84A/M,寂***8,296953310079,真的不得不说这个物流真速度第一天下午买的第二天中午就收到了，料子不是很厚但是上身特别洋气，就是不知道是否起球，不过有个样子也值了,2016-12-26 09:04:16,2,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:165/84A/M,t***佳,298315087147,5折购，同系列短款长款都收了，短款含羊毛比长款厚实，手感也硬些,2017-01-08 23:52:11,0,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:160/80A/S,丽***1,298433241414,穿上后很显肤色，样子也好看，正在想搭配什么鞋子呢，哈哈,2017-01-10 22:56:18,0,0
356060330,颜色分类:010 Black黑白提花;尺码:165/84A/M,冰***慧,297685187988,比双十一的价格还低，双十一的时候买了一件短款红唇的，再买件长的过年穿。以后only家的衣服要等打折季再买。,2016-12-31 20:27:55,3,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:155/76A/XS,c***6,298400516249,款式新颖，质量一般，穿了一天就起球了。,2017-01-08 14:02:12,4,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:155/76A/XS,洁***3,294787273531,<b></b>此<b></b>用<b></b>户<b></b>没<b></b>有<b></b>填<b></b>写<b></b>评<b></b>论<b></b>!<b></b>,2016-12-04 20:01:04,0,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:160/80A/S,w***8,298230516258,现在孕期7个月167。 62公斤穿s码可以。,2017-01-06 16:00:28,0,1
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:160/80A/S,l***拉,297533638543,衣服很棒，搭配帽子也是棒棒哒,2016-12-29 22:07:34,0,1
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:160/80A/S,是***0,296923335903,发的顺丰快递 很快 包装也挺好的 衣服还没穿 暂时还不知道质量好不好 就怕容易起球！,2016-12-26 10:50:10,0,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:160/80A/S,一***9,297183107183,客服说很厚，其实很薄！材质也不保暖！还起球！冬天穿不了！物流也慢！不像花来回运费30块钱，留着春天穿吧！,2016-12-30 10:01:22,2,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:160/80A/S,t***3,296240939667,这个真是很大啊，我身高165，体重58公斤，穿s码正好。而且我们北方，我还是穿着厚棉裤也很宽松,2016-12-20 08:17:37,3,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:160/80A/S,y***1,296193768515,大小还行，就是穿第一天就感觉起球。没有图片好看,2016-12-19 13:22:02,3,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:170/88A/L,z***n,296126087278,跟店里试的一样 特别的好 终于等到了,2016-12-17 21:32:49,3,2
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:170/88A/L,安***鹿,298338596569,&hellip;不扎人，穿着很舒适，不愧是宽松款&Sigma;(っ &deg;Д &deg;;)っ,2017-01-07 23:01:48,3,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:165/84A/M,垂***吧,297525825983,两天就起球了，啥破玩意啊！,2016-12-31 18:16:17,0,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:160/80A/S,t***2,296609310508,码数刚刚好，专柜已经下架了，特意网上特价买的,2016-12-22 23:21:14,4,0
356060330,颜色分类:010 Black黑白提花;尺码:160/80A/S,冬***5,297580314356,款式宽松，平时ONLY家M码合适，这款S码，我不洋气，只能选黑白。,2016-12-30 21:31:45,0,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:165/84A/M,漓***a,298614859949,挺好的，刚刚好。衣服没有想象中的厚，刚好适合现在穿。,2017-01-11 18:54:04,3,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:155/76A/XS,韵***人,299102692878,实物和图片一样好看 厚实 穿着暖和,2017-01-15 10:21:13,0,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:165/84A/M,小***1,298321805124,颜色艳丽，发货很快，就是毛衣容易气球变形的料子，否则非常满意,2017-01-06 02:11:48,4,0
356060330,颜色分类:010 Black黑白提花;尺码:165/84A/M,t***6,299181117525,不是很亲肤的面料，穿上感觉还可以,2017-01-14 14:57:41,4,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:160/80A/S,纯***n,297148505970,弹性效果：衣服质量不错，跟我和商场看到的一样质量，尺码偏大，身高168，体重120，穿S码合适，发货速度很快，同城发货。,2016-12-26 16:14:00,3,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:160/80A/S,玫***朵,297473536809,稍微有点薄，质量很好，就是有点太长了，但是很喜欢就留下了，看看能否改一下,2016-12-30 10:42:53,4,0
356060330,颜色分类:010 Black黑白提花;尺码:165/84A/M,l***8,295040339346,<b></b>喜<b></b>欢<b></b>喜<b></b>欢<b></b>,2016-12-08 11:46:07,4,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:170/88A/L,凌***1,298891133411,衣服夸大夸大的   客服给我推荐的有点大了   然后衣服没有图片的好看个人觉得   如果在实体店看到的话就不会买了   觉得有点穿不出去,2017-01-12 10:33:04,0,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:170/88A/L,深***水,298780934157,显肤色，就是怕起球,2017-01-13 11:26:45,0,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:160/80A/S,s***p,296149535411,颜色鲜艳，美美哒，根据大家的建议，比平时选小一码正合适,2016-12-20 00:29:17,3,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:155/76A/XS,b***q,293318299827,好看！但是起球啊！才穿一次！而且不暖和??,2016-11-26 23:04:35,4,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:160/80A/S,e***3,299247442804,期待了很久！好评！虽然买了小码，因是宽松版型，还是有点大。不过穿着很舒服！,2017-01-17 13:54:49,0,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:160/80A/S,型***有,296450931234,很喜欢?没有很厚也不会很薄。。洗的时候胸口亮片会不会把毛线蹭坏吖,2016-12-19 19:56:36,0,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:155/76A/XS,聆***6,296449573439,偏大一码 我平时160这件155正好 特别喜欢前面的大嘴唇,2016-12-22 15:06:22,3,0
356060330,颜色分类:010 Black黑白提花;尺码:160/80A/S,k***u,298384872087,款式挺好看的，就是衣服太大了，毛线之间不好，容易起球,2017-01-09 10:28:49,3,0
356060330,颜色分类:98A CHECK HOUNDSTOOTH红蓝犬牙花纹;尺码:165/84A/M,小***y,298682152259,尺码正常 宽松型  早知道不买运费险了,2017-01-11 22:25:14,4,0
